name,hex,r,g,b,h,s,v
orange-red,ff681f,255,104,31,20,88,100
orange soda,e74e14,231,78,20,16,91,91
orioles orange,fb4f14,251,79,20,15,92,98
otter brown,654321,101,67,33,30,67,40
outer space,414a4c,65,74,76,191,14,30
outrageous orange,ff6e4a,255,110,74,12,71,100
oxblood,800020,128,0,32,345,100,50
oxford blue,002147,0,33,71,212,100,28
oxley,6d9a79,109,154,121,136,29,60
ou crimson red,990000,153,0,0,0,100,60
pakistan green,006600,0,102,0,120,100,40
palatinate blue,273be2,39,59,226,234,83,89
pale blue,afeeee,175,238,238,180,26,93
pale brown,987654,152,118,84,30,45,60
pale carmine,af4035,175,64,53,5,70,69
pale cerulean,9bc4e2,155,196,226,205,31,89
pale chestnut,ddadaf,221,173,175,358,22,87
pale cornflower blue,abcdef,171,205,239,210,28,94
pale cyan,87d3f8,135,211,248,200,46,97
pale goldenrod,eee8aa,238,232,170,55,29,93
pale green,98fb98,152,251,152,120,39,98
pale pink,fadadd,250,218,221,354,13,98
pale red-violet,db7093,219,112,147,340,49,86
pale robin egg blue,96ded1,150,222,209,169,32,87
pale spring bud,ecebbd,236,235,189,59,20,93
pale violet,cc99ff,204,153,255,270,40,100
pale violet-red,db7093,219,112,147,340,49,86
palm leaf,6f9940,111,153,64,88,58,60
pansy purple,78184a,120,24,74,329,80,47
paolo veronese green,009b7d,0,155,125,168,100,61
papaya whip,ffefd5,255,239,213,37,16,100
paradise pink,e63e62,230,62,98,347,73,90
paris green,50c878,80,200,120,140,60,78
parrot pink,d998a0,217,152,160,353,30,85
pastel blue,aec6cf,174,198,207,196,16,81
pastel brown,836953,130,105,83,28,37,51
pastel gray,cfcfc4,207,207,196,60,5,81
pastel green,77dd77,119,221,119,120,46,87
pastel magenta,f49ac2,244,154,194,333,37,96
pastel pink,dea5a4,222,165,164,1,26,87
pastel purple,b39eb5,179,158,181,295,13,71
